username,tweet_text_element
Ryan Cayton,"Does anyone know when reality will set in for these delusional Ponies? 

#Xbox vx #PS5 in 2024"
Sony Prophet,"Does anyone know when reality will set in for these delusional Ponies? 

#Xbox vx #PS5 in 2024"
Safi Khan,"Does anyone know when reality will set in for these delusional Ponies? 

#Xbox vx #PS5 in 2024"
BOSS SHAWN,"Does anyone know when reality will set in for these delusional Ponies? 

#Xbox vx #PS5 in 2024"
Alice,"CONSOLE TWEAKS/ZERO DELAY METHODS(Xbox,PlayStation,PC) 

(DM ME)"
rick grimes,"Does anyone know when reality will set in for these delusional Ponies? 

#Xbox vx #PS5 in 2024"
sawyer :,"CONSOLE TWEAKS/ZERO DELAY METHODS(Xbox,PlayStation,PC) 

(DM ME)"
Lak.,"CONSOLE TWEAKS/ZERO DELAY METHODS(Xbox,PlayStation,PC) 

(DM ME)"
Karim Jovian,"Does anyone know when reality will set in for these delusional Ponies? 

#Xbox vx #PS5 in 2024"
Karma Shopping,"CONSOLE TWEAKS/ZERO DELAY METHODS(Xbox,PlayStation,PC) 

(DM ME)"
Aleksandr Morozov,"Does anyone know when reality will set in for these delusional Ponies? 

#Xbox vx #PS5 in 2024"
